,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,helped feel le alone thank every survivor used tag share,0.05265294015407562,0.008738880977034569,0.07912492007017136,0.19486160576343536,0.6042484045028687,0.06037325784564018
1,december day never forget,0.003821382764726877,0.0005155591643415391,0.032017406076192856,0.42087724804878235,0.31135496497154236,0.23141340911388397
2,worth much,0.05141584575176239,0.012603990733623505,0.06763859838247299,0.3282589316368103,0.12524165213108063,0.414840966463089
3,continuing flood social medium like talking often part problem,0.18033404648303986,0.020189357921481133,0.10822617262601852,0.4560052454471588,0.17244581878185272,0.06279928237199783
4,shame saying me too brave speak freedom,0.13142122328281403,0.0762772336602211,0.5996389985084534,0.05684170871973038,0.10165070742368698,0.03417009115219116
5,writing article campaign feeling much love everyone who ever something shitty,0.03029819391667843,0.010233337990939617,0.06945247203111649,0.2712264657020569,0.23186121881008148,0.3869283199310303
6,proud every person who brave enough share strength inspiring,0.00716298446059227,0.0030116059351712465,0.11619887501001358,0.7925423979759216,0.026551173999905586,0.054532960057258606
7,brave enough share story social medium thankful woman,0.04485228285193443,0.09157175570726395,0.43314632773399353,0.33250078558921814,0.04789502173662186,0.05003387853503227
8,working bar really experience shit come sexual assaultharassment,0.005770283751189709,0.0009150145924650133,0.023510199040174484,0.90142422914505,0.010684492997825146,0.057695768773555756
9,im,0.027036774903535843,0.018645554780960083,0.2048288881778717,0.2655748426914215,0.1539762169122696,0.3299376964569092
10,thankful amazing support ive past,0.003734311554580927,0.00048710452392697334,0.012837841175496578,0.9514769315719604,0.013368161395192146,0.018095703795552254
11,many woman ready say men ready admit threshold assaulted friend believe rape culture,0.03411541506648064,0.48022687435150146,0.23680566251277924,0.012428932823240757,0.058412399142980576,0.1780107170343399
12,cant tell often know often,0.017099473625421524,0.007869292981922626,0.0272983331233263,0.04869397357106209,0.13988466560840607,0.7591542601585388
13,obviously requoted original tweet knowing paula vesala liked tweet bit much,0.07335005700588226,0.046698469668626785,0.03963378071784973,0.0718405693769455,0.5384752750396729,0.23000186681747437
14,may participate know dont owe anyone access trauma awareness,0.04213063418865204,0.020526085048913956,0.2726368010044098,0.22568954527378082,0.1900891661643982,0.2489277869462967
15,kid,0.07760554552078247,0.05048675835132599,0.11036227643489838,0.37269309163093567,0.1882377564907074,0.2006145715713501
16,stuff killing beautiful friend,0.004218488000333309,0.0003620067145675421,0.009054665453732014,0.5906915664672852,0.31955239176750183,0.07612089812755585
17,granddaughter,0.002978327451273799,0.0006828787736594677,0.006796731147915125,0.9385685920715332,0.008256887085735798,0.04271653667092323
18,sorry give inner child hug tell said know fault,0.23271116614341736,0.1343107372522354,0.06375347077846527,0.04344336688518524,0.20948930084705353,0.3162919580936432
19,applies,0.01873273029923439,0.006220520939677954,0.0761205330491066,0.6536045074462891,0.1389388144016266,0.10638295114040375
20,kill make,0.17843544483184814,0.11331618577241898,0.2119724154472351,0.11089266836643219,0.1777089387178421,0.20767439901828766
21,merci france even cant silence woman bravely stand together,0.03109603375196457,0.03364313021302223,0.015203251503407955,0.07872474938631058,0.8160812258720398,0.025251630693674088
22,men take campaign woman need protection men need reeducation,0.08612319082021713,0.14439021050930023,0.4328002631664276,0.06742795556783676,0.13021408021450043,0.13904429972171783
23,teal real,0.09217409789562225,0.015763001516461372,0.22434434294700623,0.3759617209434509,0.14317092299461365,0.1485859900712967
24,ourstarda3msaleh,0.017016150057315826,0.006925235036760569,0.06335671991109848,0.700380802154541,0.04193396121263504,0.17038704454898834
25,nailed it hey must ashamed mom toeing daytime drink,0.043860938400030136,0.05503162369132042,0.1588141769170761,0.06952726095914841,0.21211685240268707,0.46064913272857666
26,sadly woman woman use hashtag,0.010244138538837433,0.018952777609229088,0.021673740819096565,0.015094412490725517,0.8698084950447083,0.06422645598649979
27,today want say,0.07249287515878677,0.02110191062092781,0.14413140714168549,0.2743689715862274,0.3469949960708618,0.14090991020202637
