,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,meiqi xuanyi recording super tv well get see ot13 show,0.009311969392001629,0.011831363663077354,0.018021807074546814,0.06857896596193314,0.08716712892055511,0.8050887584686279
1,congratulation may god continue bless sweet soul magesh photography,0.0007874474977143109,0.00010092644515680149,0.0008573937811888754,0.924838125705719,0.002776900539174676,0.0706392377614975
2,rock darkest time patience show support give beyond could ever offer real?,0.3113909661769867,0.018161699175834656,0.3798344135284424,0.08369321376085281,0.04016772285103798,0.16675205528736115
3,nice wonpil list song thoughtful,0.014600253663957119,0.0057875728234648705,0.05076279118657112,0.3385845422744751,0.07686760276556015,0.513397216796875
4,sang struggle musician day time enjoy success stop hating ishu,0.11909598112106323,0.026020335033535957,0.2262660712003708,0.35994720458984375,0.17256388068199158,0.09610645473003387
5,better go stock bread,0.03712892904877663,0.005469693336635828,0.04691924899816513,0.70981365442276,0.06748885661363602,0.1331796646118164
6,yassss infinite like member show ?,0.013135961256921291,0.003985433839261532,0.039735015481710434,0.6815516948699951,0.030730869621038437,0.23086100816726685
7,life hard going missing important person ur life,0.01768389716744423,0.002571872668340802,0.028567146509885788,0.016673393547534943,0.9103223085403442,0.024181362241506577
8,lol miss day side note got thinking cod wow lol,0.003976399544626474,0.002103341743350029,0.008225576020777225,0.06147680804133415,0.5616407990455627,0.36257708072662354
9,come store teary first new game treated,0.0338534340262413,0.007423507049679756,0.018269890919327736,0.15806841850280762,0.21823188662528992,0.5641528964042664
10,ough day losing two family member week rough top head cold hell face puffy mess i?m ready week sleep miss mum,0.02838769182562828,0.003974064718931913,0.00745381647720933,0.4828834533691406,0.47025445103645325,0.007046512793749571
11,grad season make emotional varsity rollercoaster i?m happy guy,0.012602859176695347,0.00237743160687387,0.03886723145842552,0.797423243522644,0.08065272122621536,0.06807643920183182
12,ohhhh thats brutal really windy drifting ugh,0.09841097146272659,0.03362082690000534,0.08765178173780441,0.15792253613471985,0.12881410121917725,0.4935797452926636
13,waiting gift hand brother come home graduation never return?,0.005767299327999353,0.0018575455760583282,0.011802124790847301,0.052631646394729614,0.4367782175540924,0.4911631643772125
14,wintermelon milktea egg pudding weary soul,0.0072947838343679905,0.00420388113707304,0.012735099531710148,0.7207123041152954,0.1633896827697754,0.09166432172060013
15,graduated know one care wanna let im soooo happyyyy,0.0018759765662252903,0.00032725147320888937,0.005215066019445658,0.5491546392440796,0.028033992275595665,0.4153931140899658
16,girl say kego rata ka lerato la love break heart ukhale isikhalo sika cry,0.022897575050592422,0.0191037617623806,0.11410778015851974,0.08297473192214966,0.5569653511047363,0.20395076274871826
17,gosh,0.08439777791500092,0.04095710813999176,0.13025890290737152,0.2828902006149292,0.26606881618499756,0.19542719423770905
18,ear drop table,0.17190498113632202,0.03662010654807091,0.1262321174144745,0.14473167061805725,0.060143571346998215,0.46036747097969055
19,bottesford v parkgate match postponed weather football ????,0.004754472058266401,0.003119194880127907,0.03617626801133156,0.2076520174741745,0.04131796211004257,0.7069801092147827
20,admin behind account really devoted hardworking promoting sj comeback even renamed vid title add?,0.004291739780455828,0.0026403095107525587,0.03822558373212814,0.21256597340106964,0.18088355660438538,0.5613928437232971
21,girl say kego rata ka lerato la love break heart ukhale isikhalo sika cry,0.022897575050592422,0.0191037617623806,0.11410778015851974,0.08297473192214966,0.5569653511047363,0.20395076274871826
22,swear haven?t right ever since grandma died,0.10215858370065689,0.17896899580955505,0.16001971065998077,0.016066087409853935,0.3537977337837219,0.1889888197183609
23,first project need qha,0.01551066804677248,0.005929240491241217,0.1449306607246399,0.7516375184059143,0.04041801393032074,0.0415739007294178
24,im anxiety rn thinking whats gonna happen month wtf bf bestie ??,0.00987936183810234,0.0016107180854305625,0.6400273442268372,0.021129252389073372,0.016332101076841354,0.31102123856544495
25,im glad,0.00843539647758007,0.0013346021296456456,0.015896569937467575,0.8366718888282776,0.035197000950574875,0.10246457904577255
26,shy minseok he cutest,0.002276023617014289,0.000886937661562115,0.016083454713225365,0.4607388377189636,0.020812662318348885,0.49920210242271423
27,rest peace mama winnie madikizela mandela always remembered contribution mother n?,0.027577435597777367,0.004656673409044743,0.0797407478094101,0.5962085723876953,0.07920283079147339,0.21261370182037354
28,danger must run yoonmin yoongi pull jimin away im cry ht?,0.9194379448890686,0.0023340864572674036,0.028238436207175255,0.007152802310883999,0.03713701292872429,0.005699764005839825
29,currently,0.024049071595072746,0.0021289398428052664,0.10319307446479797,0.6794058084487915,0.08944334834814072,0.10177969932556152
30,needed needed one emotional episode?,0.0665268823504448,0.006946396082639694,0.44407886266708374,0.05682309344410896,0.3673502802848816,0.05827455595135689
31,look dat dumpling,0.012471327558159828,0.02296912483870983,0.12053442001342773,0.20035061240196228,0.10104203969240189,0.5426324605941772
